200414,201223,29.3
201223,201229,28.357143
201229,210106,26.181818
210106,210112,28.0
210112,210126,29.071428
210126,210203,31.0
210203,210209,31.4
210209,210217,30.0
210217,210223,29.555555
210223,210302,27.0
210302,210310,25.584616
210310,210316,26.460001
210316,210323,29.642857
210323,210330,28.36
210330,210406,27.677778
210406,210413,29.125
210413,210420,29.357143
210420,210427,28.928572
210427,210504,29.666666
210504,210511,28.944445
210511,210518,29.133333
210518,210525,30.041666
210525,210601,30.142857
210601,210608,29.0
210608,210615,28.0
210615,210622,28.666666
210622,210706,29.571428
210706,210712,29.25
210712,210723,27.666666
210723,210727,25.8
210727,210803,24.6
210803,210810,27.3
210810,210817,29.0
210817,210824,30.416666
210824,210901,28.5
210901,211020,29.2
211020,211027,28.8125
211027,211104,26.571428
211104,211110,26.416666
211110,211117,28.0
211117,211123,29.928572
211123,211201,31.071428
211201,211207,28.88889
211207,211214,28.45
211214,211221,29.071428
211221,211228,28.25
211228,220103,27.785715
220103,220111,27.25
220111,220118,29.2
220118,220125,28.857143
220125,220201,28.928572
220201,220208,27.95
220208,220308,28.5
220308,220322,30.3
220322,220326,29.285715
220326,220330,28.571428
220330,220405,28.722221
220405,220419,29.6875
220419,220501,32.25
220501,220503,31.3
220503,220510,28.75
220510,220630,28.0
